Facility_Name,CMS_Certification_Number,PY2020_Payment_Reduction_Percentage,Total_Performance_Score
BMA OF CENTRAL VALLEY RURAL DIALYSIS,52612,0.005,52
DAVITA-EATON CANYON DIALYSIS,52613,0,60
AUBURN DIALYSIS CENTER,52614,0,72
NAPA DIALYSIS CENTER,52615,0.005,55
FMC-RAI-GARDEN GROVE BLVD.-GARDEN GROVE,52617,0,66
FAIRFIELD DIALYSIS CENTER,52618,0,67
HUNTINGTON DIALYSIS CENTER,52619,0,64
DAVITA-HEMET,52620,0,60
DAVITA-BREA DIALYSIS CENTER,52621,0,64
DAVITA-EAST LA PLAZA DIALYSIS,52622,0.005,54
FMC PETALUMA,52624,0,80
DAVITA-LA PALMA DIALYSIS,52627,0,72
DAVITA-HANFORD DIALYSIS,52628,0,66
SATELLITE DIALYSIS,52629,0,78
SATELLITE DIALYSIS SANTA ROSA,52630,0,64
DAVITA-WILSHIRE DIALYSIS CENTER,52631,0.005,56
DAVITA-GLENDALE DIALYSIS,52632,0,67
FMC-MISSION HILLS,52633,0,64
FMC-RAI-CENTINELA-INGLEWOOD,52634,0.015,32
DAVITA-BRIMHALL DIALYSIS,52635,0,60
DAVITA-BURBANK DIALYSIS,52637,0.01,39
DAVITA-DIALYSIS CENTER OF SIMI VALLEY,52638,0,68
DAVITA-HUNTINGTON BEACH DIALYSIS,52641,0,71
DAVITA-TOWER DIALYSIS,52643,0.01,42
FMC-ALHAMBRA,52644,0,66
SATELLITE DIALYSIS TURLOCK,52647,0,66
DAVITA-SAN JUAN CAPISTRANO SOUTH DIALYSIS,52648,0.005,54
US RENAL CARE BERKELEY,52651,0,76
DAVITA-PARAMOUNT DIALYSIS CENTER,52652,0.01,46
FMC-CHULA VISTA DIALYSIS CENTER-SOUTH,52653,0,70
FMC-GAREY DIALYSIS CENTER PARTNERSHIP,52654,0,62
FMC-VENTURA,52656,0,73
FMC-RAI-CORPORATE WAY-PALM DESERT,52657,0,59
KIDNEY INSTITUTE OF THE DESERT,52658,0,71
DAVITA-CORONA DIALYSIS CENTER,52661,0.005,56
ANTELOPE DIALYSIS CENTER,52663,0.01,45
DAVITA-SANTA MONICA DIALYSIS,52665,0,70
DAVITA-TULARE DIALYSIS,52666,0,69
FMC-CAMARILLO DIALYSIS CENTER,52668,0,82
DAVITA-IMPERIAL DIALYSIS,52670,0,67
DAVITA-UNITED DIALYSIS CENTER,52671,0.005,55
DAVITA-BAKERSFIELD DIALYSIS CENTER,52673,0,68
DAVITA-DELANO DIALYSIS,52674,0,72
EAST BAY PERITONEAL DIALYSIS,52675,0,86
DCI UNIVERSITY DIALYSIS CLINIC,52676,0.005,58
SAN JOAQUIN VALLEY DIALYSIS,52677,0.01,45
FMC-GATEWAY DIALYSIS CENTER-EAST,52678,0.005,58
U.S. RENAL CARE REDONDO BEACH DIALYSIS,52679,0.005,57
DAVITA-FONTANA DIALYSIS,52682,0,59
FMC-RAI-EAST OLYMPIC-LOS ANGELES,52683,0,72
PERITONEAL DIALYSIS CENTER OF AMERICA-SAN GABRIEL PC,52684,0.01,43
HAYWARD DIALYSIS CENTER,52685,0.01,42
FMC-LA MESA DIALYSIS CENTER,52686,0,70
FMC-CARSON,52687,0,67
WALNUT CREEK DIALYSIS,52689,0,66
FMC-EL CENTRO DESERT VALLEY DIALYSIS CENTER,52690,0,86
CAMERON PARK DIALYSIS,52691,0,65
FMC LOS GATOS,52694,0,66
DAVITA-LOS ANGELES DIALYSIS CENTER,52695,0,61
DAVITA-VISALIA DIALYSIS,52696,0,63
HIGH DESERT HEMODIALYSIS,52699,0.015,34
DAVITA-MONTEREY PARK DIALYSIS CENTER,52700,0,69
U.S. RENAL CARE EARL STREET DIALYSIS,52701,0,60
RAI WEST MARCH,52703,0,62
RAI NORTH CALIFORNIA,52705,0,66
ATWATER DIALYSIS CENTER,52706,0.005,56
ALHAMBRA DIALYSIS CENTER,52707,0,71
FMC-NORTH COAST KIDNEY CENTER,52708,0,77
VACAVILLE DIALYSIS CLINIC,52709,0,71
"LA PUENTE DIALYSIS CENTER, INC.",52710,0.005,58
SOUTHGATE DIALYSIS,52711,0.005,54
INTERCOMMUNITY DIALYSIS CENTER,52712,0.01,46
DAVITA-UNIVERSITY PARK DIALYSIS CENTER,52713,0.005,50
DESERT CITIES DIALYSIS,52714,0.015,38
U.S. RENAL CARE LOMITA DIALYSIS,52715,0,72
DAVITA-SANTA ANA DIALYSIS CENTER,52716,0,62
DAVITA-GREATER EL MONTE DIALYSIS CENTER,52717,0.005,57
DAVITA-NORWALK DIALYSIS CENTER,52718,0,69
SAN FRANCISCO DIALYSIS CENTER,52719,0,60
CITRUS DIALYSIS CENTER,52720,0.01,40
RAI PERALTA,52721,0.005,58
FMC FREMONT,52722,0,66
MANTECA DIALYSIS CENTER,52723,0,72
DAVITA-SFS DIALYSIS,52724,0,69
DAVITA-DOCTORS DIALYSIS CENTER OF EAST LOS ANGELES,52725,0.005,52
MOHAN DIALYSIS CENTER OF COVINA,52726,0.005,52
FMC-RAI-INDIANA COURT-REDLANDS,52727,0,59
RAI OCEAN AVENUE,52728,0,65
OAKLAND DIALYSIS CENTER,52729,0,63
DAVITA-MURRIETA,52730,0,69
FMC-BALBOA MARINA BAY,52731,0,74
DAVITA-ANAHEIM DIALYSIS,52734,0,59
DAVITA-TEMECULA DIALYSIS CENTER,52735,0,64
LOS BANOS DIALYSIS CENTER,52738,0,67
DAVITA-CHINO DIALYSIS,52739,0,60
FMC-RAI-FLETCHER PARKWAY-EL CAJON,52740,0,70
RAI E. 14TH,52742,0,91
DAVITA-MOUNTAIN VISTA DIALYSIS CENTER,52743,0.005,51
DAVITA-SOUTH VALLEY DIALYSIS,52744,0.005,55
DAVITA-AIRPORT SUNRISE DIALYSIS CENTER,52746,0.005,55
U.S. RENAL CARE WEST COAST DIALYSIS,52747,0,66
SATELLITE DIALYSIS,52751,0.005,52
"RAI CERES AVENUE, CHICO",52752,0,73
LODI DIALYSIS CENTER,52753,0.005,56
FMC-EL MONTE,52755,0,67
DAVITA-ENCINITAS DIALYSIS,52756,0,71
FMC DIABLO CENTRAL PITTSBURG,52757,0,71
FMC DIABLO WALNUT CREEK,52758,0,60
FMC DIABLO CONCORD,52759,0,74
FMC-SAN GABRIEL DIALYSIS CENTER,52760,0,70
DAVITA-PREMIER DIALYSIS CENTER,52761,0.005,53
FMC-OXNARD,52762,0,81
FMC-SAN GABRIEL VALLEY PD CLINIC,52764,0,100
RAI FAIRWAY ROCKLIN,52765,0,88
DAVITA-DIAMOND VALLEY DIALYSIS CENTER,52768,0.005,56
SF CHINATOWN DIALYSIS CENTER,52769,0,66
SELMA DIALYSIS CENTER,52770,0.005,57
DAVITA-VISALIA AT HOME DIALYSIS,52771,0,94
FMC-RAI-HOSPITAL CIRCLE-WESTMINSTER,52772,0,71
DAVITA-WESTMINSTER SOUTH DIALYSIS,52773,0,62
DAVITA-HI-DESERT DIALYSIS,52776,0.005,56
NRC-SANTA CLARITA KIDNEY CENTER,52778,0.005,53
FMC-RAI-MISSION GORGE SAN DIEGO,52779,0.005,54
FMC-BALBOA EAST COUNTY,52780,0,64
DAVITA-NORTH HOLLYWOOD DIALYSIS,52781,0.005,56
"MOUNTAIN VIEW DIALYSIS CENTER, INC.",52782,0.01,44
"MODESTO KIDNEY CENTER, LLC",52783,0,64
DELTA SIERRA DIALYSIS CENTER,52784,0,72
DAVITA-DOCTORS DIALYSIS CENTER OF MONTEBELLO,52785,0.005,56
EL CERRITO DIALYSIS CENTER,52786,0,67
ALAMEDA COUNTY DIALYSIS CENTER,52787,0.005,49
DAVITA-NEPHRON DIALYSIS,52788,0,61
DAVITA-INDIAN WELLS VALLEY,52789,0,67
"NRC-KIDNEY CARE CENTER OF NORTH VALLEY, INC",52790,0.005,51
ROSEMEAD DIALYSIS CENTER,52791,0.015,34
FMC-IMPERIAL COUNTY,52792,0,73
SATELLITE DIALYSIS REDWOOD CITY,52793,0,75
DAVITA-USC KIDNEY CENTER,52794,0,62
DCI MADISON DIALYSIS CLINIC,52796,0.005,51
FMC ARDENWOOD,52797,0,69
FMC-RAI-NEWHOPE-FOUNTAIN VALLEY,52798,0.005,57
DAVITA-SAN DIEGO SOUTH DIALYSIS,52799,0,69
DAVITA-DIALYSIS CENTER OF SANTA PAULA,52800,0,74
DAVITA-HOLLYWOOD DIALYSIS CENTER,52801,0,64
DAVITA-HARBOR UCLA,52802,0,79
DAVITA-CARSON DIALYSIS,52803,0,67
DAVITA-MONTCLAIR DIALYSIS CENTER,52804,0.005,55
GRASS VALLEY DIALYSIS CENTER,52805,0,79
"KIDNEY DIALYSIS CENTER OF BALDWIN HILLS, LLC",52806,0.005,53
DAVITA-VALLEY VIEW DIALYSIS,52807,0,66
DAVITA-SADDLEBACK DIALYSIS,52808,0,85
U.S. RENAL CARE WEST LOS ANGELES DIALYSIS,52809,0.01,47
BENICIA DIALYSIS CENTER,52810,0,66
DAVITA-SAN LUIS OBISPO DIALYSIS,52811,0,63
FMC-BLYTHE DESERT DIALYSIS,52812,0,91
SAN FRANCISCO GENERAL HOSPITAL RENAL CENTER,52813,0.01,48
TRACY DIALYSIS CENTER,52814,0,81
RAI BANCROFT,52815,0,70
DESERT CITIES DIALYSIS OF BARSTOW,52816,0.005,49
"FMC-RAI-CARE CENTERS OF COLTON, LLC",52817,0,77
UCSD DIALYSIS CENTER,52818,0,89
SATELLITE DIALYSIS SAN MATEO,52819,0,80
FMC-RAI-W. FOOTHILL BLVD-GLENDORA,52820,0.005,56
U.S. RENAL CARE GARDENA DIALYSIS - 190TH,52821,0.005,51
OAKLAND PERITONEAL DIALYSIS CENTER,52822,0.015,36
FMC WOODLAND,52825,0,76
NORTH HIGHLANDS DIALYSIS CENTER,52826,0.005,54
U.S. RENAL CARE PANORAMA CITY DIALYSIS,52827,0.005,58
DAVITA-LOS ANGELES DOWNTOWN,52828,0.005,53
FMC-SANTA PAULA,52829,0,80
FMC-CALEXICO DESERT DIALYSIS,52830,0,86
FMC DIABLO WEST ANTIOCH,52831,0,72
KIDNEY INSTITUTE AT EISENHOWER MEDICAL CENTER,52832,0,59
U.S. RENAL CARE OCEANSIDE DIALYSIS,52834,0.005,53
U.S. RENAL CARE CHULA VISTA BROADWAY DIALYSIS,52835,0,74
TOIYABE DIALYSIS CENTER,52836,0,75
U.S. RENAL CARE WESTSIDE DIALYSIS,52837,0.005,57
"LOMPOC ARTIFICIAL KIDNEY CENTER, LLC",52838,0,63
DAVITA-NORTHEAST BAKERSFIELD DIALYSIS,52839,0,65
U.S. RENAL CARE LONG BEACH DIALYSIS,52840,0.005,50
ANTIOCH DIALYSIS CENTER,52841,0.01,48
FMC-BUENA CREEK,52842,0,66
U.S. RENAL CARE MONTEBELLO DIALYSIS,52843,0,69
DAVITA-IMPERIAL CARE DIALYSIS CENTER,52844,0,61
SOUTH HAYWARD DIALYSIS CENTER,52845,0.005,57
FMC-INGLEWOOD,52846,0.01,39
FMC-WEST COVINA KIDNEY CENTER,52847,0.005,57
FMC-RIVERSIDE,52848,0,64
ORANGEVALE DIALYSIS CENTER,52850,0.005,55
DAVITA-CRESCENT HEIGHTS DIALYSIS CENTER,52852,0.005,56
"OAKDALE KIDNEY CENTER, LLC",52853,0,66
MOHAN DIALYSIS CENTER OF INDUSTRY,52854,0.005,50
FMC-RANCHO CUCAMONGA,52855,0.005,57
DAVITA-WASHINGTON PLAZA DIALYSIS CENTER,52856,0,64
FLORIN DIALYSIS CENTER,52857,0,68
DAVITA-KENNETH HAHN PLAZA DIALYSIS CENTER,52858,0.005,53
DAVITA-WEST GLENDALE DIALYSIS,52859,0,65
FMC-DIALYSIS SERVICES CHANNEL ISLANDS,52860,0,70
FMC-SOUTH ORANGE COUNTY,52861,0,67
FMC-NORTH ORANGE COUNTY,52862,0,60
FMC-RAI-NORTH RIVERSIDE-RIALTO,52863,0.005,51
FMC-SAN YSIDRO DIALYSIS CENTER,52864,0,87
DAVITA-CENTURY CITY DIALYSIS CENTER,52865,0.005,54
DAVITA-SAN YSIDRO DIALYSIS,52866,0,78
EAST PALMDALE DIALYSIS CENTER,52867,0.02,22
"QUEENS DIALYSIS UNIT, INC.",52868,0.015,37
DAVITA-PALMDALE REGIONAL DIALYSIS,52869,0.005,51
SATELLITE DIALYSIS SUNNYVALE,52870,0,80
DAVITA CENTRAL COAST KIDNEY CENTER,52871,0,67
FLORENCE DIALYSIS CENTER,52872,0.005,57
DAVITA-DIALYSIS CENTER OF THOUSAND OAKS,52873,0.01,47
SATELLITE HEALTHCARE SOUTH SAN FRANCISCO,52874,0,60
U.S. RENAL CARE CULVER CITY,52875,0.005,54
OROVILLE DIALYSIS CLINIC,52876,0,70
YUBA SUTTER DIALYSIS,52877,0.005,49
FMC-SAN BERNARDINO,52878,0,62
HACIENDA DIALYSIS CENTER,52879,0.015,31
FMC-BELLFLOWER,52880,0,71
NEWPORT BEACH DIALYSIS,52881,0,73
FMC-WEST LOS ANGELES,52882,0.005,55
DAVITA-SAN DIEGO EAST,52883,0,60
WHITTIER KIDNEY DIALYSIS CENTER,52884,0.005,53
FMC-DIALYSIS SERVICES OF PARADISE,52885,0,61
FMC-DIALYSIS SERVICES OF COLLEGE,52886,0,79
SATELLITE DIALYSIS WINDSOR,52887,0,73
PARKWAY KIDNEY CENTER,52888,0,71
FMC-NORTH LONG BEACH,52889,0,89
FMC-ANTELOPE VALLEY,52890,0.005,49
WELLBOUND OF SAN JOSE LLC,52891,0,64
SOLEDAD DIALYSIS CENTER,52892,0,79
"TEMPLE CITY DIALYSIS FACILITY, INC.",52893,0,62
FMC-RAI-MONROE-INDIO,52894,0,71
DAVITA-LAKE ELSINORE DIALYSIS CENTER,52895,0.01,48
DAVITA-CERRITOS DIALYSIS,52896,0,70
DAVITA-TUSTIN DIALYSIS CENTER,52897,0.005,56
FMC-RAI-LAGUNA CANYON-IRVINE,52898,0,74
U.S. RENAL CARE LOS ANGELES DIALYSIS,52899,0,69
PEDIATRIC DIALYSIS UNIT AT UCSF,53501,0.01,40
KAWEAH DELTA DIALYSIS FACILITY,53506,0,64
MEE MEMORIAL HOSPITAL-DIALYSIS,53521,0,76
UC CHRONIC DIALYSIS/MT. ZION,53523,0.01,43
COMMUNITY DIALYSIS CENTER,53525,0.005,56
SAN JOAQUIN GENERAL HOSPITAL,53526,0,61
ST. JOSEPH HOSPITAL DIALYSIS CENTER-SANTA ANA,53527,0,80
062303 UNIVERSITY OF CO HOSPITAL - HOME DIALYSIS,62303,0,65
062311 THE CHILDRENS HOSPITAL KIDNEY CTR.,62311,0.02,21
062315 HEART OF THE ROCKIES REGIONAL DIALYSIS CENTER,62315,0,66
062501 ROCKY MOUNTAIN DIALYSIS (FMC),62501,0,62
062502 LAKEWOOD DIALYSIS (DVA),62502,0,83
062505 NORTHERN COLORADO KIDNEY CENTER (FMC),62505,0.005,57
062507 PIKES PEAK DIALYSIS CENTER (DVA),62507,0,69
062510 GREELEY DIALYSIS (FMC),62510,0,71
062511 THORNTON DIALYSIS (DVA),62511,0,64
062514 AURORA DIALYSIS (DVA),62514,0,72
062517 BOULDER DIALYSIS (DVA),62517,0,73
062518 SOUTH DENVER DIALYSIS (DVA),62518,0,66
062519 LITTLETON DIALYSIS (DVA),62519,0,67
062520 PUEBLO DIALYSIS (FMC),62520,0,81
062521 ARVADA DIALYSIS CENTER (DVA),62521,0.005,51
062522 CANON CITY DIALYSIS (FMC),62522,0,78
062523 LOVELAND DIALYSIS (FMC),62523,0,93
062524 PRINTERS PLACE DIALYSIS CENTER (DVA),62524,0,83
062525 LA JUNTA DIALYSIS (FMC),62525,0,85
062526 WALSENBURG DIALYSIS (FMC),62526,0,81
062527 NORTHEAST DENVER DIALYSIS (FKC),62527,0.005,51
062528 FOUR CORNERS DIALYSIS CLINIC CORTEZ (DVA),62528,0,76
062529 LOWRY DIALYSIS CENTER (DVA),62529,0,88
062530 MONTROSE DIALYSIS (DCI),62530,0,86
062531 ENGLEWOOD DIALYSIS (DVA),62531,0,68
062533 COMMERCE CITY DIALYSIS (DVA),62533,0,75
062534 LONGMONT DIALYSIS (DVA),62534,0,74
062535 LAKEWOOD CROSSING DIALYSIS (DVA),62535,0,91
062536 LAMAR DIALYSIS (FMC),62536,0,83
062537 PUEBLO SOUTH DIALYSIS (FMC),62537,0,71
062538 GRAND JUNCTION DIALYSIS (DCI),62538,0,71
062540 EAST AURORA DIALYSIS (DVA),62540,0,59
062541 MILE HIGH PD (DVA),62541,0,76
062542 BRIGHTON DIALYSIS (DVA),62542,0,79
062543 LONETREE DIALYSIS (DVA),62543,0,84
062544 BELCARO DIALYSIS (DVA),62544,0,67
062545 AURORA DIALYSIS (FMC),62545,0.005,53
062546 DENVER DIALYSIS (DVA),62546,0.005,53
062547 DURANGO DIALYSIS CENTER (DVA),62547,0,76
062548 STAPLETON DIALYSIS (FMC),62548,0,74
062550 ALAMOSA DIALYSIS (DVA),62550,0,79
062553 GRAND JUNCTION DIALYSIS CENTER (DVA),62553,0,63
062554 KIDNEY CENTER OF ARVADA (ARA),62554,0,75
062555 KIDNEY CENTER OF LAFAYETTE (ARA),62555,0,75
062556 KIDNEY CENTER OF LAKEWOOD (ARA),62556,0.005,51
062557 KIDNEY CENTER OF LONGMONT (ARA),62557,0,83
062558 KIDNEY CENTER OF WESTMINSTER (ARA),62558,0,75
062559 NORTH METRO DENVER DIALYSIS (DVA),62559,0,80
062560 LIBERTY DIALYSIS - PUEBLO,62560,0,73
062561 NORTH COLORADO SPRINGS DIALYSIS (DVA),62561,0,71
062562 PARKER DIALYSIS (DVA),62562,0,69
062563 LIBERTY DIALYSIS - COLORADO SPRINGS NORTH (FMC),62563,0,80
062564 LIBERTY DIALYSIS - COLORADO SPRINGS SOUTH (FMC),62564,0,84
062566 LIBERTY DIALYSIS COLORADO SPRINGS CENTRAL (FMC),62566,0,75
062567 MESA COUNTY DIALYSIS (DVA),62567,0,76
062568 PUEBLO WEST DIALYSIS (FMC),62568,0,88
062569 BLACK CANYON DIALYSIS (DVA),62569,0,63
062570 KIDNEY CENTER OF BEAR CREEK (ARA),62570,0,66
062571 THORNTON KIDNEY CENTER LLC  (ARA),62571,0,71
062572 SOUTHWEST DENVER DIALYSIS (DVA),62572,0.005,58
062573 KIDNEY CENTER ON MAIN (ARA),62573,0.005,58
062574 RED HAWK DIALYSIS (DVA),62574,0,66
062575 PAVILION DIALYSIS (FMC),62575,0,73
062576 SABLE DIALYSIS (DVA),62576,0,68
062577 NORTHEASTERN COLORADO DIALYSIS (DVA),62577,0,82
062578 -  WEST HAMPDEN DIALYSIS (FMC),62578,0,78
062579 - LOVELAND CENTRAL DIALYSIS (DVA),62579,0,67
062580 NORTHERN COLORADO HOME THERAPY DIALYSIS (FMC),62580,0,80
062581 KIDNEY CENTER OF NORTHRIDGE (ARA),62581,0,77
062582 - WEST LAKEWOOD DIALYSIS CENTER (DVA),62582,0.005,53
062583 PARKER KIDNEY CENTER (ARA),62583,0,61
062584 SOUTH DENVER DIALYSIS (FMC),62584,0,71
062585 NORTH GREELEY DIALYSIS (FMC),62585,0,75
062586 GREELEY DIALYSIS (DVA),62586,0,66
062587 KIDNEY CENTER OF WHEAT RIDGE (ARA),62587,0,66
062588-FORT COLLINS DIALYSIS,62588,0,0
062589-KIDNEY CENTER OF THE ROCKIES,62589,0.005,54
062590-KIDNEY CENTER OF FREDERICK,62590,0,82
062591-PLATTE VALLEY DIALYSIS,62591,0.01,39
062592-MONTBELLO DIALYSIS,62592,0,84
HARTFORD HOSPITAL,72307,0.01,47
NEW BRITAIN GENERAL HOSPITAL,72310,0.01,47
BRIDGEPORT DIALYSIS,72501,0.005,54
NEW HAVEN HOME DIALYSIS,72503,0,62
STAMFORD DIALYSIS,72504,0.005,58
DIALYSIS CENTER OF NEWINGTON,72505,0,65
ENFIELD DIALYSIS CENTER,72506,0,71
NEW HAVEN DIALYSIS,72507,0.015,35
CENTRAL CT DIALYSIS CENTER,72508,0,81
EAST HARTFORD DIALYSIS CENTER,72509,0.005,52
SHELTON DIALYSIS,72510,0,63
GREATER WATERBURY DAVITA DIALYSIS,72511,0,67
ST. RAPHAEL DIALYSIS CENTER - NEW HAVEN,72512,0.005,51
MILFORD DIALYSIS,72514,0,77
NEW LONDON DIALYSIS,72515,0,72
HARTFORD DIALYSIS,72516,0,65
BRANFORD DIALYSIS,72517,0,65
"PHYSICIANS DIALYSIS INC., - ROCKY HILL",72518,0,70
UCONN DIALYSIS CENTER,72519,0.01,48
NORWICH DIALYSIS,72520,0,75
SOUTH NORWALK DIALYSIS,72521,0,74
SHORELINE DIALYSIS CENTER,72522,0.005,54
TORRINGTON DIALYSIS,72523,0,75
"MIDDLESEX DIALYSIS CENTER, LLC.",72524,0,78
FMC DIALYSIS SERVICES FORESTVILLE,72527,0.005,56
BLOOMFIELD DIALYSIS,72528,0,69
VERNON DIALYSIS CENTER,72529,0,69
WINDHAM DIALYSIS CENTER,72530,0,85
U.S.RENAL CARE NORTH HAVEN DIALYSIS,72532,0,67
DAVITA WATERBURY HEIGHTS DIALYSIS,72533,0,74
FRESENIUS MEDICAL CARE OF SOUTHINGTON,72534,0,70
BLACK ROCK DIALYSIS,72535,0,73
FRESENIUS MEDICAL CARE OF FAIRFIELD,72536,0.005,52
NORTH HAVEN DIALYSIS CENTER,72537,0,69
MANCHESTER DIALYSIS CENTER,72538,0.005,52
U.S.RENAL CARE ORANGE DIALYSIS,72539,0,60
FMC OF WESTERN HARTFORD,72540,0,71
WILLARD AVENUE DIALYSIS,72541,0,75
COMPREHENSIVE DIALYSIS CARE LLC,72542,0,84
HAMDEN DIALYSIS,72543,0,62
DANBURY DIALYSIS CENTER,72544,0,69
FARMINGTON DIALYSIS,72545,0,73
U.S.RENAL CARE BRANFORD DIALYSIS,72546,0,63
PALOMBA DRIVE DIALYSIS,72547,0,83
HOUSATONIC DIALYSIS,72548,0,79
WALLINGFORD DIALYSIS CARE LLC,72549,0,75
FRESENIUS MEDICAL CARE WINDSOR,72550,0.01,48
HERALD SQUARE DIALYSIS LLC,72551,0,62
TOTAL RENAL CARE INC,72552,0,69
HAWLEY LANE - DAVITA,72553,0,0
HARTFORD DOWNTOWN DIALYSIS,72554,0,0
CHRISTIANA CARE HEALTH SYSTEM,82300,0.01,46
BAYHEALTH MEDICAL CENTER,82301,0,0
ALFRED I. DUPONT HOSPITAL FOR CHILDREN DIALYSIS CENTER,82302,0.005,50
FRESENIUS KIDNEY CARE - BRANDYWINE,82501,0,68
FRESENIUS KIDNEY CARE - CENTRAL DELAWARE,82502,0.01,47
FRESENIUS KIDNEY CARE - MID SUSSEX COUNTY,82503,0,73
FRESENIUS KIDNEY CARE - RIVERSIDE PARK,82505,0,77
FRESENIUS KIDNEY CARE - CHRISTIANA,82506,0.005,57
FRESENIUS KIDNEY CARE - MILFORD,82507,0.005,51
FRESENIUS KIDNEY CARE - FIRST STATE,82509,0,59
FRESENIUS KIDNEY CARE - REHOBOTH,82510,0,91
FRESENIUS KIDNEY CARE - WILMINGTON,82511,0,61
FRESENIUS KIDNEY CARE - SMYRNA,82512,0,63
FRESENIUS KIDNEY CARE - NEWPORT PIKE,82513,0,69
FRESENIUS KIDNEY CARE - MIDDLETOWN,82514,0,74
FRESENIUS KIDNEY CARE - GREENTREE,82515,0.01,45
FRESENIUS KIDNEY CARE - NORTH WILMINGTON,82516,0,85
LIBERTY DIALYSIS - WILMINGTON,82517,0,67
DSI SEAFORD,82518,0,66
FRESENIUS KIDNEY CARE - MILLSBORO,82519,0,93
FRESENIUS KIDNEY CARE - BRANDYWINE HOME THERAPIES,82520,0,67
FRESENIUS KIDNEY CARE - FOX RUN,82521,0,69
AMERICAN UNIVERSAL LLC,82522,0.005,51
AMERICAN UNIVERSAL - HOCKESSIN,82523,0,61
"DSI LAUREL DIALYSIS, LLC",82524,0,61
"FRESENIUS MEDICAL CARE NORTHERN DELAWARE, LLC.",82525,0,74
"FRESENIUS MEDICAL CARE SOUTHERN DELAWARE, LLC",82526,0.01,43
"FRESENIUS MEDICAL CARE SOUTHERN DELAWARE, LLC",82527,0,75
"FRESENIUS MEDICAL CARE SOUTHERN DELAWARE, LLC",82528,0.01,48
BIO-MEDICAL APPLICATIONS OF DELAWARE INC,82529,0,0
"BIO-MEDICAL APPLICATIONS OF DELAWARE, INC.",82530,0,0
CHILDRENS NATIONAL MEDICAL CENTER,92305,0.01,47
BMA - DUPONT CIRCLE,92501,0,77
BMA - COLUMBIA HEIGHTS,92503,0.005,57
GREATER SOUTHEAST COMMUNITY DIALYSIS CENTER,92505,0,61
FMC - ANACOSTIA,92508,0.005,55
DAVITA - LEE STREET DIALYSIS,92510,0.005,51
DAVITA - EIGHTH STREET,92513,0.005,51
BMA - NORTHEAST WASHINGTON,92515,0,60
DAVITA GEORGETOWN HOME TRAINING,92516,0.005,49
DAVITA - GWU SE,92517,0,63
DAVITA - K STREET DIALYSIS,92518,0.005,56
DAVITA - BRENTWOOD,92519,0.005,53
UNION PLAZA DIALYSIS CENTER,92520,0.01,48
CAPITOL DIALYSIS,92521,0.005,55
GRANT PARK DIALYSIS FACILITY,92522,0,68
WASHINGTON NURSING DIALYSIS,92524,0,61
INTERNATIONAL DIALYSIS CENTER LLC,92525,0,76
KAISER HEALTH PLAN OF THE MID-ATLANTIC STATES,92526,0.02,18
RAI - CHILLUM-WASHINGTON,92527,0,62
"HOWARD UNIVERSITY DIALYSIS CENTER, LLC",92528,0,71
RAI CARE CENTERS OF SOUTHEAST DC LLC,92529,0,67
WASHINGTON CENTER FOR AGING,92530,0,0
SHANDS JACKSONVILLE - ESRD,102300,0.015,38
FLORIDA HOSPITAL ESRD,102302,0.02,16
SAINT MARYS HOSPITAL DIALYSIS UNIT,102303,0.015,36
JACKSON MEMORIAL HOSP DIALYSIS PEDIATRIC,102304,0.005,51
MEMORIAL REGIONAL HOSP - PEDIATRIC DIALYSIS,102306,0,0
SHANDS HOSPITAL - PEDIATRIC DIALYSIS,102312,0,0
TAMPA GENERAL HOSPITAL ESRD,102314,0,64
JOHNS HOPKINS ALL CHILDREN'S HOSPITAL DIALYSIS,102328,0,92
BAPTIST MEDICAL CENTER - PEDIATRIC DIALYSIS,102330,0.02,22
MIAMI CHILDRENS HOSP DIALYSIS UNIT,102336,0.01,41
HEWELL KIDS KIDNEY CENTER AT ORLANDO HEALTH,102341,0,0
FMC - PENSACOLA,102501,0.005,49
FMC - SOUTH MIAMI,102502,0.01,48
DADE DIALYSIS CENTER,102503,0,68
SOUTH BROWARD ARTIFICIAL KIDNEY CTR,102504,0.005,56
CENTRAL FLORIDA KIDNEY CENTERS INC,102505,0.015,31
BMA - TAMPA,102506,0.02,25
DIALYSIS ASSOC OF THE PALM BEACHES,102510,0.005,58
ORLANDO ARTIFICIAL KIDNEY CENTER,102511,0.01,48
BMA - GAINESVILLE,102512,0,71
FORT MYERS DIALYSIS,102513,0.01,41
PANAMA CITY DIALYSIS CENTER,102514,0,74
MELBOURNE KIDNEY CENTER,102517,0.01,40
WEST FLORIDA DIALYSIS,102518,0.005,49
FMC - PINELLAS PARK,102519,0.005,58
BOCA RATON ARTIFICIAL KIDNEY CENTER,102520,0,63
DAYTONA BEACH DIALYSIS,102521,0,59
BMA - KENDALL,102522,0.005,58
LAKELAND DIALYSIS,102524,0.005,51
TREASURE COAST KIDNEY CENTER NORTH,102525,0.005,58
JUPITER KIDNEY CENTER LLC,102527,0,68
RAI CARE CENTERS - CLEARWATER,102528,0,66
PHYSICIANS DIALYSIS TRINITY,102529,0.005,49
BMA - HIALEAH,102530,0,61
DIALYSIS CLINIC INC,102531,0.015,36
INTERAMERICAN DIALYSIS CENTER,102532,0,67
